always,['adverb'],"['總是；老是；每次都', ' 一直；永遠', ' 過去一直', ' （和 can 或 could 一起使用，表示另外的可能性）不論怎樣總還', ' （惱人地）總是；老是']"
control,"['noun', 'verb']","['命令；控制；管制；克制', ' 權力', ' 掌握；控制（權）；克制（力）；支配（權）', ' 開關', ' （機器的）控制按鈕，操縱裝置', ' （電腦鍵盤上的）控制鍵', ' 實驗中', ' （實驗中的）對照物，對照系統']"
place,"['noun', 'verb']","['地區', ' 地方；場所', ' 家', ' 適當的地點（或建築物、場合等）', ' 位置', ' 位置', ' 座位', ' （餐桌旁的）位子', ' （機構、系統中的）職位，席位；（競賽的）名次', ' （用於 any，some…']"
never,['adverb'],['從不；從未；永不']
ice,"['noun', 'verb']","['結冰的水', ' 冰；冰塊', ' 霜淇淋', ' （尤指從商店買的）霜淇淋', ' 珠寶', ' 珠寶（尤指鑽石）', ' 覆蓋在糕點上', ' 給（糕點）加糖霜', ' 殺死', ' 謀殺']"
limit,"['noun', 'verb']","['限額；限制；上限', ' 限度，限量', ' （法律規定的開車時血液中酒精含量的）最高限量', ' 限制，限定']"
distance,['noun'],"['空間', ' 距離，路程', ' 方式', ' 冷漠的行爲，疏遠']"
make,"['noun', 'verb']","['生產', ' 做；製作；製造', ' 執導；製作；拍攝；出演', ' 導致', ' 造成；引起；導致', ' 使成為', ' 使成為；使變成；使顯得', ' 執行', ' 作出…的舉動', ' 強迫', ' 總數', ' 等於；合計為', ' 計算', ' 計算；估計…']"
often,['adverb'],['時常，經常；多次']
not,['adverb'],"[""（用於 be，can，have，will，must 等動詞後構成否定表達，在口語中常簡略為n't）不"", ' （用於否定其後的單詞或詞組）不，沒有', ' （用於 be afraid， hope，…']"
door,['noun'],"['門', ' 房子，建築物']"
duck,"['noun', 'verb']","['鳥', ' 鴨子', ' 鴨肉', ' 人', ' （昵稱）寶貝，乖乖', ' （尤指爲避免被擊中而）猛低頭，猛彎腰', ' 將…按到水下', ' （尤指爲了避免被發現而）趕忙躲藏起來']"
away,"['adjective', 'adverb']","['別的地方', ' 去（或在）別處；向另一方向；向一邊', ' 遠的', ' （距此）…遠', ' 放入空間裡', ' 在老地方；在適當的地方；放到，放進（尤指封閉的空間）', ' 離去', ' 逐漸消失；逐漸不存在', ' 在將來…']"
break,"['noun', 'verb']","['損壞', ' 破碎，破裂；打破；打斷；損壞，弄壞', ' 結束', ' 毀壞，打破；結束，終結', ' 違背', ' 破壞；違反；違背', ' 分開', ' 分散；分開；分解', ' 打斷', ' 打斷；中斷，中止', ' 用力', ' 急衝；猛闖；突破', ' 情緒…']"
bed,"['noun', 'verb']","['傢俱', ' 床，床舖；床位', ' 底部', ' 底部；基座', ' 一片地', ' 苗床；花壇', ' 把…安置在基礎上；嵌；埋置', ' 與…上床，與…發生性關係', ' 教育學士（Bachelor of Education的縮寫）']"
edge,"['noun', 'verb']","['靠外的位置', ' 邊，邊緣', ' 刃', ' 刀口；刃；鋒利的邊緣', ' 幾乎', ' （變故的）邊緣', ' 優勢', ' 優勢；優越之處', ' 憤怒／緊張', ' 尖刻的聲調；厭煩的聲調；憤怒的語氣', ' （使）徐徐移動；（使）緩慢發展']"
wind,"['noun', 'adjective', 'verb']","['氣流', ' 風；氣流', ' 呼吸', ' 呼吸；呼吸能力', ' 空談，廢話', ' 腸子', ' 腸氣，胃氣，腸胃氣脹', ' 呼吸', ' （擊打腹部而）使氣急，使呼吸困難', ' 腸子', ' （用撫拍的方法）使（嬰兒）打嗝通氣', ' 轉…']"
wrong,"['adjective', 'adverb', 'noun', 'verb']","['不正確', ' 錯誤的；不正確的', ' 弄錯的；判斷錯的', ' 不合適的', ' 不合適的；不想要的；不應該的', ' 不正當的；不可取的', ' 煩惱的；不順心的', ' 不道德的', ' 不道德的；不正當的；不對的', ' 不工作的…']"
city,['noun'],"['市鎮', ' 市，城市', ' （英國有大教堂的）特許市', ' 市政府', ' 金融中心']"
lie,"['noun', 'verb']","['姿態', ' 躺；平躺；平臥', ' 位於，處在，坐落在', ' 存在，在', ' （責任、罪責、決定、選擇等）在於', ' 說謊', ' 說謊，撒謊', ' 謊話，瞎話']"
test,"['noun', 'verb']","['測驗，考查', ' （體格）檢查；化驗', ' 試驗', ' 檢驗；考驗', ' （板球，橄欖球等的）國際錦標賽（同 test match）', ' 試驗；檢驗；試用；檢測', ' 測驗，測試；考查；考試', ' 考驗', ' 檢查（身體）']"
feel,"['noun', 'verb']","['經歷', ' 覺得；感到；體會到', ' 意見', ' 認為；相信', ' 觸摸', ' 觸，摸', ' 觸摸', ' 觸覺；手感', ' 觸摸', ' 特徵', ' （場所或情況給人的）感受，氣氛；特質', ' 理解']"
glow,"['noun', 'verb']","['發光；發熱', ' （尤指因為眼睛放出光芒而）容光煥發，喜形於色', ' 光', ' 發光；發熱；光亮；灼熱', ' 面部感覺（或顯得）溫暖健康', ' 感覺', ' 喜悅；滿足']"
cd,['noun'],['雷射唱片，光碟（compact disc的縮寫）']
shopkeeper,['noun'],['店主']
kingdom,['noun'],"['王國', ' （某人）佔統治地位的地方；管轄範圍；（某種特質為重的）領域', ' 活動領域', ' （動物、植物、礦物）界']"
know,"['noun', 'verb']","['掌握資訊', ' 知道，熟悉，了解', ' （用於詢問資訊）知道', ' 確知；確信', ' 對…熟悉', ' 認識；熟悉', ' 知曉，通曉', ' 通曉（語言）；會', ' 認出；辨認出']"
joy,['noun'],"['高興', ' 歡欣，高興，喜悅', ' 使人高興的人（或物）；樂事；樂趣', ' 成功', ' 成功；行動；幫助']"
northern,['adjective'],['在北部的；從北部的']
tonight,"['noun', 'adverb']",['（在）今晚；（在）今夜']
anyway,['adverb'],"['不管怎樣；無論如何；仍然', ' （用於談話中表示改變話題、回到原來說的話題或者即將談到最有趣的一點）對了，好吧，無論如何，反正', ' （用於談話中表示強調正在說的話）而且，加之，到底']"
small,"['adjective', 'adverb', 'noun']","['有限的', ' 小的；少的；矮小的', ' 年輕的', ' 年幼的，幼小的', ' 有限的活動', ' 小規模的', ' 不重要的；不會造成麻煩的', ' 不重要的', ' 卑微的，微不足道的', ' 字母的大小', ' （字母）小寫的', ' 小，不大', ' 身體…']"
care,"['noun', 'verb']","['保護', ' 保護；照顧；照料', ' （用作構詞成分）…護理', ' 關注', ' 仔細；小心；謹慎', ' 處理', ' 擔心', ' 擔心；煩惱；憂慮', ' 擔心', ' 在乎，關心，介意', ' 想要', ' （用於禮貌地提議或建議）想要，喜歡']"
get,['verb'],"['得到', ' 獲得，得到；買到；賺得，贏得', ' 收到；得到；接到', ' （去）拿來，取來，叫來', ' 捕獲；抓獲', ' 到達', ' 到達', ' 達到（某個階段或者時間點）；處於（某種狀態）', ' 因為…生病…']"
stay,"['noun', 'verb']","['不離開', ' 留下；停留', ' 繼續', ' 繼續做；保持', ' 生活', ' 暫住；逗留', ' 永久地居住在某處', ' 探望', ' 停留時間，逗留時間']"
cry,"['noun', 'verb']","['流淚', ' 哭，哭泣；流淚', ' 喊叫', ' 叫；喊；大聲說', ' 喊叫', ' （表達某種情感的）叫喊，呼喊', ' （吸引別人注意的）喊叫聲', ' （鳥或動物的）叫聲', ' 哭泣', ' 一陣哭泣']"
life,['noun'],"['壽命；生命；一生，人生；生活；性命', ' 生活方式；生活（的某一部分）', ' 壽命；存在週期；有效期', ' 生命力，生氣', ' 活力，熱情', ' 活物，生物', ' （繪畫的）模特兒，實物', ' （尤指兒童遊戲中的）一次機會；命']"
here,['adverb'],"['在這裡；到這裡', ' （用於句首以介紹某人或某物）這', ' （某人）來了；（某事）開始了', ' （表示在說話人近旁的人或物）這裡', ' 現在，這時']"
stand,"['noun', 'verb']","['直立的', ' （使）直立；（使）站立；豎放；（尤指）站起來', ' 狀態', ' （使）處於，進入（特定狀態或境況）', ' 放', ' 在；位於；放', ' （車輛）停，停靠', ' 接受', ' 承受住，經受住', ' 政治', ' 參加競選', ' 高度…']"
keep,"['noun', 'verb']","['保存', ' 保有；保存；保留', ' 經營，管理（小店鋪）', ' 飼養', ' 照顧，照料（某人的孩子）', ' 停留', ' （使）留在（某處）；（使）保持（某狀態）', ' 繼續做', ' 繼續（做）；重複（做）', ' 耽擱…']"
lake,['noun'],['湖，湖泊']
